'chuan'guo'jin'se'hua'de'lin'yin 穿过金色花的林荫
'dan'shi'ni'hui'cai'de'chu 但是你会猜得出
'dang'ni'chi'guo'wu'fan 当你吃过午饭
'dang'ni'huang'hun'shi 当你黄昏时
'dang'ni'mu'yu'hou'shi'fa'pi'zai'liang'jian 当你沐浴后湿发披在两肩
'hai'zi'ni'zai'na'li'ya 孩子你在哪里呀
'jia'ru'wo'bian'cheng'le'yi'duo'jin'se'hua 假如我变成了一朵金色花
'kan'zhe'ni'gong'zuo 看着你工作
'luo'zai'ni'de'tou'fa'yu'xi'shang'shi 落在你的头发与膝上时
'ma'ma'ni'hui'ren'shi'wo'me 妈妈你会认识我么
'na'ke'shu'de'yin'ying 那棵树的阴影
'na'le'deng'dao'niu'peng'li'qu 拿了灯到牛棚里去
'ni'dao'na'li'qu'le 你到哪里去了
'ni'hai'zi'de'xiao'xiao'ying'zi'ma 你孩子的小小影子吗
'ni'hui'xiu'dao'zhe'hua'xiang 你会嗅到这花香
'ni'tong'wo'na'shi'suo'yao'shuo'de'hua'le 你同我那时所要说的话了
'ni'yao'shi'jiao'dao 你要是叫道
'ni'zhe'huai'hai'zi 你这坏孩子
'qiu'ni'jiang'gu'shi'gei'wo'ting 求你讲故事给我听
'que'bu'zhi'dao'zhe'xiang'qi'shi'cong'wo'shen'shang'lai'de 却不知道这香气是从我身上来的
'que'yi'sheng'er'bu'xiang 却一声儿不响
'tou'zai'ni'de'shu'ye'shang 投在你的书页上
'wei'le'hao'wan 为了好玩
'wo'an'an'de'zai'na'li'ni'xiao 我暗暗地在那里匿笑
'wo'bian'yao'jiang'wo'xiao'xiao'de'ying'zi 我便要将我小小的影子
'wo'bian'yao'tu'ran'de 我便要突然地
'wo'bu'gao'su'ni'ma'ma 我不告诉你妈妈
'wo'yao'qiao'qiao'de'kai'fang'hua'ban'er 我要悄悄地开放花瓣儿
'xiao'xi'xi'di'zai'kong'zhong'yao'bai 笑嘻嘻地在空中摇摆
'you'cheng'le'ni'de'hai'zi 又成了你的孩子
'you'zai'xin'ye'shang'tiao'wu 又在新叶上跳舞
'zai'luo'dao'di'shang'lai 再落到地上来
'zhang'zai'shu'de'gao'zhi'shang 长在树的高枝上
'zhe'jiu'shi 这就是
'zheng'tou'zai'ni'suo'du'de'di'fang 正投在你所读的地方
'zou'dao'zuo'dao'gao'de'xiao'ting'yuan'shi 走到做祷告的小庭院时
'zuo'zai'chuang'qian'du'luo'mo'yan'na 坐在窗前读罗摩衍那
