'bao'shi'qi'shi'ta'li'ke'nai'ba 宝石骑士塔里克奶爸
'bing'jing'feng'huang'ai'ni'wei'ya'feng'huang 冰晶凤凰艾尼维亚凤凰
'ce'shi'tong'ling'si'wei'yin'wu'ya 策士统领斯维因乌鸦
'da'fa'ming'jia'hei'mo'ding'ge'da'tou 大发明家黑默丁格大头
'dao'feng'yi'zhi'ai'rui'li'ya'dao'feng 刀锋意志艾瑞莉娅刀锋
'de'bang'zong'guan'zhao'xin'zhao'xin 德邦总管赵信赵信
'de'ma'xi'ya'huang'zi'jia'wen'si'shi'huang'zi 德玛西亚皇子嘉文四世皇子
'duo'luo'tian'shi'mo'gan'na'duo'tian'shi 堕落天使莫甘娜堕天使
'e'mo'xiao'chou'sa'ke'xiao'chou 恶魔小丑萨科小丑
'fa'tiao'mo'ling'ao'li'an'na'fa'tiao 发条魔灵奥莉安娜发条
'feng'bao'zhi'nu'jia'na'feng'nv 风暴之怒迦娜风女
'fu'chou'yan'hun'bu'lan'de'huo'ren 复仇焰魂布兰德火人
'gang'tie'da'shi'bo'bi'bo'bi 钢铁大使波比波比
'guang'hui'nv'lang'la'ke'si'hai'mei'chu'lai 光辉女郎拉克丝还没出来
'gui'shu'yao'ji'le'fu'lan'yao'ji 诡术妖姬乐芙兰妖姬
'hai'yang'zhi'zai'pu'lang'ke'chuan'zhang 海洋之灾普朗克船长
'han'bing'she'shou'ai'xi'ai'she 寒冰射手艾希爱射
'huang'mo'tu'fu'lei'ke'dun'e'yu 荒漠屠夫雷克顿鳄鱼
'ji'xie'gong'di'lan'bo'pen'huo'wa 机械公敌兰博喷火娃
'jin'shu'da'shi'mo'de'kai'sa'tie'nan 金属大师莫德凯撒铁男
'jiu'tong'gu'la'jia'si'jiu'tong 酒桶古拉加斯酒桶
'ka'pai'da'shi'cui'si'te'ka'pai 卡牌大师崔斯特卡牌
'kuang'bao'zhi'xin'kai'nan'kai'nan 狂暴之心凯南凯南
'kuang'ye'nv'lie'shou'nai'de'li'bao'nv 狂野女猎手奈德丽豹女
'kuang'zhan'shi'ao'la'fu'kuang'zhan 狂战士奥拉夫狂战
'lian'jin'shu'shi'xin'ji'de'lian'jin 炼金术士辛吉德炼金
'liu'lang'fa'shi'rui'zi'rui'zi 流浪法师瑞兹瑞兹
'ma'xi'ya'zhi'li'gai'lun'gai'lun 玛西亚之力盖伦盖伦
'mai'lin'pao'shou'cui'si'ta'na'xiao'pao 麦林炮手崔丝塔娜小炮
'man'zu'zhi'wang'tai'da'mi'er'man'wang 蛮族之王泰达米尔蛮王
'mang'seng'li'qing'li'qing 盲僧李青李青
'mo'ri'shi'zhe'fei'de'ti'ke'dao'cao'ren 末日使者费德提克稻草人
'mo'she'zhi'yong'ka'xi'ao'pei'ya'she'nv 魔蛇之拥卡西奥佩娅蛇女
'mu'guang'zhi'yan'shen 暮光之眼慎
'niu'qu'shu'jing'mao'kai'shu'ren 扭曲树精茂凯树人
'niu'tou'qiu'zhang'a'li'si'ta'lao'niu 牛头酋长阿利斯塔老牛
'pi'cheng'nv'jing'kai'te'lin'nv'jing 皮城女警凯特琳女警
'pi'jia'long'gui'la'mo'si'long'gui 披甲龙龟拉莫斯龙龟
'rong'yan'ju'shou'mo'fei'te'shi'tou'ren 熔岩巨兽墨菲特石头人
'sha'mo'si'shen'nei'se'si'gou'tou 沙漠死神内瑟斯狗头
'shang'jin'lie'ren'e'yun'xiao'jie'hao'yun'jie 赏金猎人厄运晓姐好运姐
'shang'zhi'mu'nai'yi'a'mu'mu'mu'mu 殇之木乃伊阿木木木木
'shao'bing'zhi'shang'jia'li'ao'bian'fu'xia 哨兵之殇加里奥蝙蝠侠
'shen'pan'tian'shi'kai'er'tian'shi 审判天使凯尔天使
'shen'yuan'ju'kou'ke'ge'mo'da'zui 深渊巨口克格莫大嘴
'shi'guang'shou'hu'zhe'ji'lan'shi'guang'lao'tou 时光守护者基兰时光老头
'shi'xue'lie'shou'wo'li'ke'lang'ren 嗜血猎手沃里克狼人
'shou'ling'zhi'ao'e'jia'te'pang'xie 首领之傲厄加特螃蟹
'si'wang'song'chang'zhe'ka'er'sa'si'si'ge 死亡颂唱者卡尔萨斯死歌
'wang'ling'yong'shi'sai'en'fu'tou'ge 亡灵勇士赛恩斧头哥
'wen'yi'zhi'yuan'tu'qi'lao'shu 瘟疫之源图奇老鼠
'wu'ji'jian'sheng'yi'yi'da'shi 无极剑圣易易大师
'xie'e'xiao'fa'shi'wei'jia'wei'jia 邪恶小法师维迦维迦
'xing'hong'shou'ge'zhe'fu'la'ji'mi'er'xi'xue'gui 猩红收割者弗拉基米尔吸血鬼
'xu'kong'kong'ju'ke'jia'si'chong'zi 虚空恐惧科加斯虫子
'xu'kong'xian'zhi'ma'er'zha'ha'xian'zhi 虚空先知玛尔扎哈先知
'xu'kong'xing'zhe'ka'sa'ding'kai'sa'ding 虚空行者卡萨丁凯撒丁
'xun'jie'chi'hou'ti'mo'ti'mo 迅捷斥候提莫提莫
'ye'shou'zhi'ling'wu'di'er'de'lu'yi 野兽之灵乌迪尔德鲁伊
'ying'yong'tou'dan'shou'ku'qi'fei'ji 英勇投弹手库奇飞机
'yong'heng'meng'yan'mo'teng'meng'yan 永恒梦魇魔腾梦魇
'zhan'zheng'nv'shen'xi'wei'er'lun'zi'ma 战争女神希维尔轮子妈
'zhan'zheng'zhi'wang'pan'sen'si'ba'da 战争之王潘森斯巴达
'zheng'qi'ji'qi'ren'bu'li'ci'ji'qi'ren 蒸汽机器人布里茨机器人
'zu'an'kuang'ren'meng'duo'yi'sheng'meng'duo 祖安狂人蒙多医生蒙多
'zu'zhou'ju'mo'te'lang'de'er'ju'mo 诅咒巨魔特朗德尔巨魔
