'a'ka'ma'zhi'ying 阿卡玛之影
'a'ke'meng'de 阿克蒙德
'a'ku'mai'er 阿库麦尔
'a'kui'ni'si'nan'jue 阿奎尼斯男爵
'a'lei'ke'si'ba'luo'fu 阿雷克斯巴罗夫
'a'lu'gao'de'xu'kong'xing'zhe 阿鲁高的虚空行者
'a'nu'bi'sa'si'fang'yu'zhe 阿努比萨斯防御者
'a'nu'bi'sa'si'shou'wei'zhe 阿努比萨斯守卫者
'a'nu'bu'lei'kan 阿努布雷坎
'a'nu'xi'er 阿努希尔
'a'ta'la'li'en 阿塔拉利恩
'a'wa'lan'qi'ao 阿瓦兰奇奥
'a'zha'da'si 阿扎达斯
'a'zi'jia'luo 阿兹加洛
'ai'bo'nuo'ke 埃博诺克
'ai'de'wen'fan'ke'li'fu 艾德温范克里夫
'ai'huo'en 埃霍恩
'ai'ji'er'song 埃基尔松
'ai'lan'zhi'ying 埃兰之影
'ai'long'na'ya 艾隆纳亚
'ai'mo'li'si 艾莫莉丝
'ai'ou'nu'si 埃欧努斯
'ai'rui'da'shuang'zi 艾瑞达双子
'ai'suo'lei'ge'si 艾索雷葛斯
'an'duo'luo'fu'zhong'jiang 安多洛夫中将
'an'ge'fu'jiang'jun 安格弗将军
'an'ge'lei'er 安格雷尔
'an'na'ke'de'la 安娜科德拉
'an'na'sai'long 安纳塞隆
'an'na'si'ta'li'nan'jue'fu'ren 安娜丝塔丽男爵夫人
'an'su 安苏
'an'tu'su'er 安图苏尔
'an'xue'shuang'zi 暗血双子
'an'ying'ji'si'sai'se'si 暗影祭司塞瑟斯
'an'ying'lie'shou'wo'shi'jia'si 暗影猎手沃什加斯
'ang'zang'de'xi'er'gai 肮脏的希尔盖
'ao'fa'shi'du'an 奥法师杜安
'ao'luo 奥罗
'ao'ni'ke'xi'ya 奥妮克希亚
'ao'shu'kan'shou 奥术看守
'ao'zi'en 奥兹恩
'ba'er'luo'ge 巴尔洛戈
'ba'ji'er'si'rui'de 巴基尔斯瑞德
'ba'na'zha'er 巴纳扎尔
'ba'se'la'si'zhen'zhang 巴瑟拉斯镇长
'ba'zha'lan 巴扎兰
'ban'nuo'ke'ju'fu 班诺克巨斧
'bao'nu'de'a'jia'sai'luo'si 暴怒的阿迦赛罗斯
'bao'shi'zhe 暴食者
'bei'can'de'ti'mi 悲惨的提米
'bei'er'jia 贝尔加
'bei'pan'zhe'men'nu 背叛者门努
'bei'xi'nao'de'gui'zu 被洗脑的贵族
'bei'zu'zhou'de'sai'lei'bu'la'si 被诅咒的塞雷布拉斯
'bi'si'ju'shou 比斯巨兽
'bian'chi'zhe'te'li'gao'lei 鞭笞者特里高雷
'bian'yi'jing'ling'long 变异精灵龙
'bo'ai'en 博艾恩
'bo'xue'zhe'pu'ke'er'te 博学者普克尔特
'bu'ke'kuan'shu'zhe 不可宽恕者
'bu'lai'zhong'shi 布莱中士
'bu'lu'gao'tie'quan 布鲁高铁拳
'bu'lu'ta'lu'si 布鲁塔卢斯
'bu'luo'ge'ke 布洛戈克
'bu'wen'ding'de'hai'du'si 不稳定的海度斯
'cang'bai'de'ma'le'ji 苍白的玛勒基
'chong'zi'yi'jia 虫子一家
'chuan'ling'guan'ji'er'tu'nuo'si 传令官基尔图诺斯
'chuan'ling'guan'wa'zi'de 传令官瓦兹德
'chun'jing'de'hai'du'si'zhao'ya 纯净的海度斯爪牙
'da'fa'shi'a'lu'gao 大法师阿鲁高
'da'ge'lan'suo'rui'sen'da'di 达格兰索瑞森大帝
'da'hui'lang 大灰狼
'da'ji'sa'si'jiang'jun 达基萨斯将军
'da'jian'cha'guan'fa'er'ban'ke'si 大检察官法尔班克斯
'da'jian'cha'guan'huai'te'mai'en 大检察官怀特迈恩
'da'ling'zhu'mo'ge'lai'ni 大领主莫格莱尼
'da'qiu'zhang'lei'de'hei'shou 大酋长雷德黑手
'da'xing'shu'shi'suo'lan'li'an 大星术师索兰莉安
'da'yuan'shuai'wei'la'xi'si 大元帅维拉希斯
'da'zhu'jiao'ma'la'da'er 大主教玛拉达尔
'dan'xiao'de'shi'zi 胆小的狮子
'dang'an'guan'li'yuan'jia'er'fu'te 档案管理员加尔福特
'dao'cao'ren 稻草人
'de'la'ke'zhong'wei 德拉克中尉
'de'la'wei'wo'er 德拉维沃尔
'de'mu'sai'ka'er 德姆塞卡尔
'di'ke'si'te'wa'de 迪克斯特瓦德
'di'yu'huo'dao'mo'zhe 地狱火导魔者
'dian'xing'qi'xing 电刑器型
'dian'yu'guan'si'di'er'ji'si 典狱官斯迪尔基斯
'du'jun'ka'li'se'li'si 督军卡利瑟里斯
'du'mu'lei'er 杜姆雷尔
'duan'ti 断蹄
'duo'luo'de'wa'la'si'ta'zi 堕落的瓦拉斯塔兹
'duo'luo'qian 多萝茜
'duo'pu'lei'er 多普雷尔
'e'yun 厄运
'fang'zhen 方阵
'fei'er'gen 费尔根
'fei'er'mo 费尔默
'fei'mi'si 菲米丝
'fen'hua'zhe'gu'lei'man'ge 焚化者古雷曼格
'fen'nu'jing'hua 愤怒精华
'feng'kuang'de'ji'ge'er 疯狂的基戈尔
'feng'kuang'de'ma'ge'li'shen 疯狂的马格利什
'fu'la'si'xi'ya'bi 弗拉斯希亚比
'fu'lai'ge'er 弗莱格尔
'fu'lai'la'si'da'shi 弗莱拉斯大使
'fu'lan'de'pu'lei'mo'er 腐烂的普雷莫尔
'fu'lei'si'te'en 弗雷斯特恩
'fu'nuo'si'da'ke'wei'er 弗诺斯达克维尔
'fu'shi'zhe'sa'suo'wa'er 腐蚀者萨索瓦尔
'gai'si 盖斯
'gao'ji'zhi'wu'xue'jia'fu'lei'wen 高级植物学家弗雷温
'gao'jie'du'jun'na'yin'tu'si 高阶督军纳因图斯
'gao'jie'ji'si'ma'er'li 高阶祭司玛尔里
'gao'jie'ji'si'sai'ka'er 高阶祭司塞卡尔
'gao'jie'ji'si'wen'nuo'xi'si 高阶祭司温诺希斯
'gao'jie'ji'si'ya'er'luo 高阶祭司娅尔罗
'gao'jie'ji'si'ye'ke'li'ke 高阶祭司耶克里克
'gao'jie'ling'shu'shi'sai'le'wo'er 高阶灵术师塞勒沃尔
'gao'jie'shu'shi'ao'lei'sai'si 高阶术士奥蕾塞丝
'gao'jie'shu'shi'nai'se'ku'si 高阶术士奈瑟库斯
'ge'duo'ke'da'wang 戈多克大王
'ge'la'si 格拉斯
'ge'li'ha'si'te 格里哈斯特
'ge'li'lei'ke 格里雷克
'ge'li'zi'er 格里兹尔
'ge'lu'bi'si 格鲁比斯
'ge'lu'lei'er 格鲁雷尔
'ge'luo'bu'lu'si 格罗布鲁斯
'ge'rui'mu'luo'ke 格瑞姆洛克
'gong'jiang'ji'zi'luo'ke 工匠吉兹洛克
'gong'tou'tai'de'wa'si 工头泰德瓦斯
'gong'tou'xi'si'nai'te 工头希斯耐特
'gu'dai'de'shi'tou'kan'shou'zhe 古代的石头看守者
'gu'er'tu'ge'xue'fei 古尔图格血沸
'gu'la'lu'ke 古拉鲁克
'guan'cha'zhe'ke'lu'shen 观察者克鲁什
'guan'li'zhe'ai'ke'suo'tu'si 管理者埃克索图斯
'guan'zhang 馆长
'guo'ji'xiang'qi 国际象棋
'ha'er'la'zi 哈尔拉兹
'ha'huo'lan'gong'zhu 哈霍兰公主
'ha'ka 哈卡
'ha'ka'de'hua'shen 哈卡的化身
'ha'lei'ken 哈雷肯
'ha'mu'huo'ke 哈姆霍克
'ha'zha'la'er 哈扎拉尔
'ha'zha'si 哈扎斯
'hai'duo'si'bo'en 海多斯博恩
'han'bing'zhi'wang'ya'men'na'er 寒冰之王亚门纳尔
'he'er'mo'da'shi 赫尔默大使
'he'er'nu'la'si 赫尔努拉斯
'he'luo'de 赫洛德
'hei'an'bian'zhi'zhe'sai'si 黑暗编织者塞斯
'hei'an'yuan'zhang'jia'ding 黑暗院长加丁
'hei'nv'wu'fa'lin'na 黑女巫法琳娜
'hei'se'kuo'bu'zhe 黑色阔步者
'hei'shang 黑上
