'ai'wu'yu 爱恶欲
'ba'bai'zai 八百载
'bai'er'qian 百而千
'bei'yuan'wei 北元魏
'ben'feng'ren 本风人
'ben'hu'shu 本乎数
'bi'bu'jiao 彼不教
'bi'suo'xiu 鼻所嗅
'bi'you'chu 必有初
'bian'shui'lu 遍水陆
'bian'wang'zai 辨王载
'bie'shan'e 别善恶
'bing'wen'xiong 并文雄
'bo'ji'cheng 波既成
'bo'ji'lao 波既老
'bo'ji'shi 波既仕
'bo'nv'zi 波女子
'bo'sui'you 波虽幼
'bo'wu'shu 波无书
'bo'ying'wu 波颖悟
'bu'cheng'qi 不成器
'bu'ke'luan 不可乱
'bu'rong'wen 不容紊
'bu'ru'wu 不如物
'bu'zai'chuan 不再传
'bu'zhi'yi 不知义
'cai'wen'ji 蔡文姬
'can'tong'jian 参通鉴
'can'tu'si 蚕吐丝
'chan'zun'wei 禅尊位
'chao'yu'si 朝於斯
'cheng'da'ming 称大明
'cheng'nian'wu 成廿五
'cheng'san'wang 称三王
'cheng'shi'ge 逞士戈
'cheng'wu'dai 称五代
'cheng'xing'sheng 称行省
'chi'dao'xia 赤道下
'chu'han'zheng 楚汉争
'chu'sui'luan 除隋乱
'chuan'er'shi 传二世
'chuang'guo'ji 创国基
'chun'qiu'zuo 春秋作
'ci'dong'wu 此动物
'ci'er'pian 此二篇
'ci'jian'wen 次见闻
'ci'liu'chu 此六畜
'ci'liu'gu 此六谷
'ci'mo'xian 此莫先
'ci'si'du 此四渎
'ci'si'fang 此四方
'ci'si'min 此四民
'ci'si'sheng 此四声
'ci'si'shi 此四史
'ci'si'shi 此四时
'ci'wu'chang 此五常
'ci'wu'chou 此五臭
'ci'wu'se 此五色
'ci'wu'wei 此五味
'ci'wu'xing 此五行
'ci'wu'yin 此五音
'ci'wu'yue 此五岳
'ci'xiong'di 次兄弟
'ci'zhi'wu 此植物
'cuo'qi'yao 撮其要
'da'xiao'dai 大小戴
'da'xiao'zhuan 大小篆
'da'xue'zhe 大学者
'dai'cheng'zu 迨成祖
'dai'zhi'sui 迨至隋
'dai'zou'mei 逮邹枚
'dan'lue'shuo 但略说
'dang'feng'song 当讽诵
'dang'shun'xu 当顺叙
'dang'xiao'zhi 当效之
'dang'zhong'quan 当中权
'dang'zi'jing 当自警
'dao'liang'shu 稻粱菽
'di'suo'sheng 地所生
'di'yu'chang 弟于长
'dou'yan'shan 窦燕山
'du'jin'ling 都金陵
'du'lu'lun 读鲁论
'du'shi'zhe 读史者
'du'shu'ji 读书籍
'du'you'ci 读有次
'du'zhu'shi 读诸史
'duan'ji'zhu 断机杼
'duo'wang'yi 多亡佚
'er'nan'zi 尔男子
'er'shi'chuan 二十传
'er'shi'pian 二十篇
'er'shi'qi 二十七
'er'suo'qu 耳所取
'er'xi'xue 尔细学
'er'xiao'sheng 尔小生
'er'ya'zhe 尔雅者
'er'you'xue 尔幼学
'fan'sha'qi 返沙碛
'fan'xue'zhe 凡学者
'fan'xun'meng 凡训蒙
'fan'zheng'shi 凡正史
'fang'du'zi 方读子
'fang'qi'sui 方七岁
'fang'shao'shi 方少时
'fei'suo'yi 非所宜
'fen'dong'xi 分东西
'feng'niang'mi 蜂酿蜜
'fu'er'shen 父而身
'fu'fu'shun 夫妇顺
'fu'zhi'guo 父之过
'fu'zi'qin 父子亲
'fu'zi'xian 父子先
'gao'zeng'zu 高曾祖
'gao'zu'xing 高祖兴
'gong'shang'jiao 宫商角
'gou'bu'jiao 苟不教
'gou'bu'xue 苟不学
'gu'jiu'liu 古九流
'gu'jiu'zhou 古九州
'gu'liu'yi 古六艺
'gu'sheng'xian 古圣贤
'gu'sheng'zhu 古圣著
'guang'yu'qian 光于前
'gui'yi'zhuan 贵以专
'guo'hao'shang 国号商
'guo'nai'gai 国乃改
'guo'zhi'liang 国之良
'guo'zhi'si 国志四
'han'jia'dong 汉贾董
'han'shu'er 汉书二
'han'ye'jian 汉业建
'han'yu'jun 寒燠均
'han'yu'liu 韩与柳
'hao'san'guo 号三国
'hao'san'huang 号三皇
'hao'si'shi 号四诗
'hao'tang'yu 号唐虞
'he'qun'jing 合群经
'he'wei'ren 曷为人
'hou'han'san 后汉三
'ji'bai'hei 及白黑
'ji'han'zhou 及汉周
'ji'hong'wu 纪洪武
'ji'lao'zhuang 及老庄
'ji'li'ji 集礼记
'ji'peng'you 及朋友
'ji'qi'shi 记其事
'ji'qing'yun 暨卿云
'ji'quan'shi 鸡犬豕
'ji'shan'yan 记善言
'ji'shi'zi 既识字
'ji'si'chen 鸡司晨
'ji'xin'xian 及辛咸
'ji'xing'xiu 及腥朽
'ji'xu'zheng 及许郑
'ji'zheng'yu 及徵羽
'jia'sui'pin 家虽贫
'jia'tian'xia 家天下
'jia'zhi'gui 甲至癸
'jian'rong'di 兼戎狄
'jian'zheng'jing 兼证经
'jiang'shuo'wen 讲说文
'jiao'bu'yan 教不严
'jiao'wu'zi 教五子
'jiao'zhi'dao 教之道
'jie'dao'xue 皆道学
'jie'jing'shi 皆经师
'jie'yi'yi 皆夷裔
'jie'you'you 皆有由
'jie'zhi'zai 戒之哉
'jin'bu'ju 今不具
'jin'dan'xing 今单行
'jin'gai'zhi 今改制
'jin'man'ying 金满籯
'jin'zhi'hou 金之后
'jing'ji'ming 经既明
'jing'zi'tong 经子通
'jiu'shi'nian 九十年
'jiu'zu'zhe 九族者
'ju'qi'fan 惧其繁
'ju'shen'tong 举神童
'jue'song'shi 绝宋世
'jun'chen'hou 君臣后
'jun'chen'yi 君臣义
'kao'shi'lu 考实录
'kao'shi'xi 考世系
'kong'zi'shu 孔子述
'kou'er'song 口而诵
'kou'suo'han 口所含
'lao'he'wei 老何为
'le'jing'wang 乐经亡
'li'cao'ji 隶草继
'li'chun'qiu 礼春秋
'li'dai'shi 历代事
'li'fa'bei 礼法备
'li'ruo'du 李若杜
'li'xuan'you 历宣幽
'li'yue'she 礼乐射
'li'zhi'xin 礼智信
'li'zhong'guo 莅中国
'liang'chen'cheng 梁陈承
'liang'mie'zhi 梁灭之
'liang'tang'jin 梁唐晋
'liao'xing'jin 辽兴金
'liu'bai'zai 六百载
'liu'jing'zhe 六经者
'liu'kou'qi 流寇起
'lun'yu'zhe 论语者
'luo'qin'shi 蠃秦氏
'ma'niu'yang 马牛羊
'mai'shu'ji 麦黍稷
'meng'zi'zhe 孟子者
'mi'qi'sui 泌七岁
'mian'er'zhi 勉而致
'ming'ju'dou 明句读
'ming'ju'yang 名俱扬
'ming'wang'shi 明王氏
'mu'jin'tu 木金土
'mu'shi'jin 木石金
'mu'suo'shi 目所识
'nai'ba'yin 乃八音
'nai'da'tong 乃大同
'nai'zeng'zi 乃曾子
'nan'bei'hun 南北混
'neng'bian'qin 能辩琴
'neng'fei'zou 能飞走
'neng'fu'qi 能赋棋
'neng'rang'li 能让梨
'neng'shu'sheng 能述圣
'neng'wen'xi 能温席
'neng'yong'shi 能咏诗
'neng'yong'yin 能咏吟
'neng'zhi'yuan 能知源
'nian'si'bu 廿四部
'nian'wu'shi 年五十
'pao'tu'ge 匏土革
'pi'bo'bian 披薄编
'qi'liang'jin 迄两晋
'qi'pian'zhi 七篇止
'qi'qing'ju 七情具
'qi'xiong'chu 七雄出
'qi'yi'shi 起义师
'qian'er'wan 千而万
'qian'wan'ping 迁宛平
'qian'xia'she 迁夏社
'qie'cong'min 且聪敏
'qie'zhi'mian 且知勉
'qin'shi'you 亲师友
'qin'you'gong 勤有功
'qing'chi'huang 青赤黄
'qing'tai'zu 清太祖
'qing'zuo'zhong 清祚终
'qiu'jing'xun 求经训
'qu'wu'zhong 取五种
'qu'yuan'fu 屈原赋
'quan'shou'ye 犬守夜
'quan'yan'si 权阉肆
'quan'zai'zi 全在兹
'qun'di'zi 群弟子
'ren'bu'xue 人不学
'ren'cheng'qi 人称奇
'ren'gong'zun 人共遵
'ren'suo'shi 人所食
'ren'suo'si 人所饲
'ren'yi'zi 人遗子
'ren'zhi'chu 人之初
'ri'suo'chan 日所躔
'ri'yue'xing 日月星
'rong'si'sui 融四岁
'ru'fu'xin 如负薪
'ru'gua'jiao 如挂角
'ru'liu'jing 如六经
'ru'nang'ying 如囊萤
'ru'ying'xue 如映雪
'ruo'guang'xue 若广学
'ruo'qin'mu 若亲目
'ruo'xun'qing 若荀卿
'san'bai'zai 三百载
'san'cai'zhe 三才者
'san'dang'ming 三党名
'san'gang'zhe 三纲者
'san'guang'zhe 三光者
'san'shi'wu 三十五
'san'yi'xiang 三易详
'san'zi'jing 三字经
'shan'bian'yan 善辨言
'shan'jiao'xiang 膻焦香
'shan'zhi'ming 山之名
'shang'kuang'guo 上匡国
'shang'qin'xue 尚勤学
'shang'you'shui 尚游说
'shang'you'tang 商有汤
'shen'er'zi 身而子
'shen'qi'hui 神器毁
'shen'sui'lao 身虽劳
'shen'yi'shi 身已仕
'shi'ba'chuan 十八传
'shi'chun'qiu 始春秋
'shi'er'bai 十而百
'shi'er'zhi 十二支
'shi'fa'fen 始发愤
'shi'fu'fu 始夫妇
'shi'gan'zhe 十干者
'shi'ji'nian 始纪年
'shi'ji'yi 史记一
'shi'jian'bing 始兼并
'shi'ke'du 始可读
'shi'liu'shi 十六世
'shi'mou'wen 识某文
'shi'qi'pian 十七篇
'shi'san'jing 十三经
'shi'shi'shi 十十世
'shi'sui'fan 史虽繁
'shi'tong'xu 失统绪
'shi'xiang'tuo 师项橐
'shi'zhi'duo 师之惰
'shi'zhu'zhou 始诛纣
'shou'ming'feng 受明封
'shou'xiao'ti 首孝悌
'shou'zhou'xiang 受周祥
'shu'sheng'yan 述圣言
'shu'shi'wu 数十五
'shu'zhi'ao 书之奥
'shuang'lu'gai 霜露改
'shui'zhi'ji 水之纪
'shuo'ren'yi 说仁义
'si'bai'nian 四百年
'si'bai'zai 四百载
'si'shu'tong 四书通
'song'heng'heng 嵩恒衡
'song'qi'ji 宋齐继
'song'zhou'cheng 宋周程
'su'ming'yun 苏明允
'suan'ku'gan 酸苦甘
'sui'dong'qian 遂东迁
'suo'dang'zhi 所当执
'tai'zu'xing 太祖兴
'tang'fa'xia 汤伐夏
'tang'gao'zu 唐高祖
'tang'liu'yan 唐刘晏
'tian'di'ren 天地人
'tong'gu'jin 通古今
'tong'ru'shu 统儒术
'tou'xuan'liang 头悬梁
'wang'chuan'zhe 王传者
'wang'ji'xi 王迹息
'wang'mang'cuan 王莽篡
'wang'na'zhui 王纳坠
'wei'dong'han 为东汉
'wei'er'di 为二帝
'wei'nan'chao 为南朝
'wei'ren'zi 为人子
'wei'shi'zong 为诗宗
'wei'shu'wu 魏蜀吴
'wei'shu'xue 帷书学
'wei'xue'zhe 为学者
'wei'yi'jing 帷一经
'wen'nuan'ji 温暖极
'wen'zhong'zi 文中子
'wen'zuo'zhou 文作周
'wo'jiao'zi 我教子
'wo'zhong'hua 我中华
'wu'ba'qiang 五霸强
'wu'lun'zhe 五伦者
'wu'wei'bei 勿违背
'wu'zi'zhe 五子者
'xi'li'yi 习礼仪
'xi'meng'mu 昔孟母
'xi'ru'ye 习儒业
'xi'wu'yi 戏无益
'xi'xiang'yuan 习相远
'xi'yu'si 夕於斯
'xi'zhong'ni 昔仲尼
'xia'chuan'zi 夏传子
'xia'li'min 下利民
'xia'you'yu 夏有禹
'xian'fu'mu 显父母
'xian'si'shi 先四史
'xian'wu'xing 先武兴
'xian'xian'chuan 先贤传
'xiang'jiu'ling 香九龄
'xiang'xun'gu 详训故
'xiao'jing'shu 孝经熟
'xiao'xue'zhong 小学终
'xiao'yu'qin 孝于亲
'xiao'zhu'jian 削竹简
'xie'dao'yun 谢道韫
'xin'er'wei 心而帷
'xing'ben'shan 性本善
'xing'liao'dong 兴辽东
'xing'nai'qian 性乃迁
'xing'xiang'jin 性相近
'xiu'wen'zhi 修文质
'xu'fu'weng 婿妇翁
'xu'jiang'jiu 须讲究
'xu'zong'qin 序宗亲
'xue'bu'chuo 学不辍
'xue'qie'qin 学且勤
'yang'bu'jiao 养不教
'yang'ming'sheng 扬名声
'yao'shun'xing 尧舜兴
'yi'er'shi 一而十
'yi'jian'tong 宜兼通
'yi'li'zhe 仪礼者
'yi'li'zhi 宜立志
'yi'mian'li 宜勉力
'yi'sheng'jiao 翼圣教
'yi'shi'shu 易诗书
'yi'tiao'ye 宜调叶
'yi'tu'yu 一土宇
'yi'xian'zhi 宜先知
'yi'yi'qing 益以清
'yi'zao'si 宜早思
'ying'ba'sui 莹八岁
'ying'hu'zhong 应乎中
'yong'bu'yi 庸不易
'you'bo'shu 有伯叔
'you'bu'xue 幼不学
'you'cao'mu 有草木
'you'chong'yu 有虫鱼
'you'dian'mo 有典谟
'you'gao'yuan 右高原
'you'gong'yang 有公羊
'you'gu'liang 有谷梁
'you'gu'wen 有古文
'you'gui'cang 有归藏
'you'guo'feng 有国风
'you'guo'yu 有国语
'you'hui'chi 犹悔迟
'you'ji'xia 游稷下
'you'jiu'sheng 有舅甥
'you'ku'zhuo 犹苦卓
'you'lian'shan 有连山
'you'niao'shou 有鸟兽
'you'shi'ming 有誓命
'you'xi'ye 幼习业
'you'xun'gao 有训诰
'you'xun'yang 有荀扬
'you'ya'song 有雅颂
'you'yi'fang 有义方
'you'zhou'yi 有周易
'you'zuo'shi 有左氏
'yu'bao'bian 寓褒贬
'yu'bu'zhuo 玉不琢
'yu'gao'qi 与高齐
'yu'ke'qiu 馀可求
'yu'shu'shu 御书数
'yu'si'zhu 与丝竹
'yu'wen'zhou 宇文周
'yu'yu'hou 裕于后
'yuan'mie'zhi 元灭之
'yue'ai'ju 曰哀惧
'yue'chi'dao 曰赤道
'yue'chun'xia 曰春夏
'yue'dai'hua 曰岱华
'yue'er'jing 约而精
'yue'gong'shang 曰工商
'yue'huai'ji 曰淮济
'yue'huang'dao 曰黄道
'yue'jiang'he 曰江河
'yue'nan'bei 曰南北
'yue'ping'shang 曰平上
'yue'qiu'dong 曰秋冬
'yue'qu'ru 曰去入
'yue'ren'yi 曰仁义
'yue'shi'nong 曰士农
'yue'shui'huo 曰水火
'yue'xi'dong 曰西东
'yue'xi'nu 曰喜怒
'yun'bu'qiong 运不穷
'zai'dong'bei 在东北
'zai'li'ji 在礼记
'zai'shang'shi 在上世
'zai'zhi'luan 载治乱
'ze'lin'chu 择邻处
'zhang'zhu'lu 张朱陆
'zhao'song'xing 赵宋兴
'zhao'zhong'ling 赵中令
'zhen'min'feng 振民风
'zheng'han'ding 争汉鼎
'zhi'ceng'xuan 至曾玄
'zhi'chong'zhen 至崇祯
'zhi'huang'di 至黄帝
'zhi'mou'shu 知某数
'zhi'shi'zu 至世祖
'zhi'si'shu 至四书
'zhi'xiao'ping 至孝平
'zhi'xing'shuai 知兴衰
'zhi'zhi'ping 至治平
'zhi'zhong'shi 知终始
'zhi'zhou'wang 至纣亡
'zhong'bu'pian 中不偏
'zhong'cheng'yi 众称异
'zhong'yong'zhe 中庸者
'zhong'yu'xian 终於献
'zhong'zhan'guo 终战国
'zhou'dao'shuai 周道衰
'zhou'gong'he 周共和
'zhou'li'zhe 周礼者
'zhou'wen'wu 周文武
'zhou'wu'wang 周武王
'zhu'liu'guan 箸六官
'zhu'shu'bei 注疏备
'zhuang'zhi'shen 壮致身
'zhui'ci'gu 锥刺股
'zi'bu'xue 子不学
'zi'cheng'ru 自成入
'zi'er'sun 子而孙
'zi'qin'ku 自勤苦
'zi'si'bi 子思笔
'zi'xi'nong 自羲农
'zi'xiu'qi 自修齐
'zi'zhi'hai 子至亥
'zi'zi'sun 自子孙
'zui'chang'jiu 最长久
'zui'jing'zhi 最精致
'zuo'da'hai 左大海
'zuo'zheng'zi 作正字
'zuo'zhuan'wai 左传外
