'an'zhuang'jiao 安装角
'bai'zhen'jiao 摆振铰
'bian'ju 变距
'cao'zong'huan 操纵环
'cao'zong'hui'wu 操纵挥舞
'ce'dao'jiao 侧倒角
'chen'qiu'ming 陈秋铭
'chen'ren'liang 陈仁良
'chu'zhou'gong'lv 出轴功率
'chui'feng'hui'wu 吹风挥舞
'chui'zhi'jiao 垂直铰
'chui'zhi'pa'sheng'lv 垂直爬升率
'chui'zhi'qi'luo'ji 垂直起落机
'dan'wei'hao'you'lv 单位耗油率
'di'mian'xiao'ying 地面效应
'ding'zhou'wo'lun 定轴涡轮
'duan'yi 短翼
'fa'dong'ji'duan'cang 发动机短舱
'fan'liu'qu 反流区
'fan'niu'ju 反扭矩
'fang'wei'jiao 方位角
'fei'xing'pin'zhi 飞行品质
'fei'zu 废阻
'fu'niu'zhuan 负扭转
'fu'shi'ji'shu 福式级数
'fu'zhuo'wo 附着涡
'gao'du'te'xing'qu'xian 高度特性曲线
'gao'du'te'xing'xi'shu 高度特性系数
'gao'ya'dong 高亚东
'gao'zheng 高正
'ge'lao'te 格劳特
'gen'shao'bi 根梢比
'gong'zhou'shi 共轴式
'gou'zao'xuan'zhuan'ping'mian 构造旋转平面
'gu'ding'wo'xi 固定涡系
'gu'jie 固接
'guang'yi'wo'liu'li'lun 广义涡流理论
'han'dong 韩东
'hang'ji'jiao 航迹角
'heng'lie'shi 横列式
'hou'dao'jiao 后倒角
'hou'xing'jiang'ye 后行桨叶
'hua'liu 滑流
'hua'liu'li'lun 滑流理论
'hui'bi'qu 迴避区
'hui'wu'jiao 挥舞角
'hui'wu'jiao 挥舞铰
'hui'wu'ping'mian 挥舞平面
'hui'wu'yun'dong 挥舞运动
'huo'sai'fa'dong'ji 活塞发动机
'ji'bian'wo'xi 畸变涡系
'ji'bo 激波
'ji'bo'fen'li 激波分离
'ji'he'xian 几何弦
'ji'he'ying'jiao 几何迎角
'ji'xian 极线
'jian'suo'xi'shu 减缩系数
'jiang'gu 桨榖
'jiang'jian'ping'mian 桨尖平面
'jiang'ju 桨距
'jiang'pan 桨盘
'jiang'pan'hou'dao 桨盘后倒
'jiang'ye'zhi'liang'te'xing'xi'shu 桨叶质量特性系数
'jiang'zhu 桨柱
'jiao'jie 铰接
'jing'ji'su'du 经济速度
'kong'qi'dong'li'xue 空气动力学
'la'li'xi'shu 拉力系数
'la'li'xiu'zheng'xi'shu 拉力修正系数
'lai'liu'jiao 来流角
'li'jian'bo 李建波
'li'ju'te'xing 力矩特性
'ling'sheng'li'ju 零升力距
'ling'sheng'ying'jiao 零升迎角
