'ba'gai'ge'fang'zai'shou'wei 把改革放在首位
'bai'hua'qi'fang'bai'jia'zheng'ming 百花齐放百家争鸣
'bao'jia'wei'guo 保家卫国
'bi'jiao'shi'zai'de'su'du 比较实在的速度
'bing'ru'guo'ying'qi'ye 并入国营企业
'chao'xian'ting'zhan'xie'ding 朝鲜停战协定
'chi'xu'wen'ding'xie'tiao'de'fa'zhan 持续稳定协调的发展
'chu'ji'nong'ye'sheng'chan'he'zuo'she 初级农业生产合作社
'da'ji'jing'ji'ling'yu'zhong'yan'zhong'fan'zui'huo'dong 打击经济领域中严重犯罪活动
'da'yue'jin'yun'dong 大跃进运动
'dan'gan'hu 单干户
'dang'zai'guo'du'shi'qi'de'zong'lu'xian 党在过渡时期的总路线
'de'cai'jian'bei'nian'fu'li'qiang'de'zhong'qing'nian 德才兼备年富力强的中青年
'de'dao'geng'duo'shi'hui 得到更多实惠
'di'qi 地契
'dou'zheng'bu'xi 斗争不息
'dou'zheng'e'ba'di'zhu 斗争恶霸地主
'dui'wai'kai'fang'dui'nei'gao'huo'jing'ji'de'zheng'ce 对外开放对内搞活经济的政策
'dui'zi'chan'jie'ji'de'he'ping'shu'mai 对资产阶级的和平赎买
'fa'zhan'jia'ge'zheng'ce'de'tiao'jie'zuo'yong 发展价格政策的调节作用
'fan'dong'dang'tuan'gu'gan'fen'zi 反动党团骨干分子
'fan'dong'hui'dao'men'tou'zi 反动会道门头子
'fan'ge'ming'can'yu'shi'li 反革命残余势力
'fan'ge'ming'fen'zi 反革命分子
'fan'shen 翻身
'fan'tan'wu'fan'lang'fei'fan'guan'liao'zhu'yi 反贪污反浪费反官僚主义
'fan'you'pai'dou'zheng 反右派斗争
'fan'you'qing'dou'zheng 反右倾斗争
'fei'jun'shi'qu 非军事区
'fen'pei'di'zhu'cai'chan 分配地主财产
'fen'pei'tu'di 分配土地
'gai'ge'kai'fang 改革开放
'gai'ge'ling'dao'ji'gou'he'gan'bu'zhi'du 改革领导机构和干部制度
