'an'yuan'chen 暗元辰
'an'zu 暗族
'ba'beng'li'he'shi'jie 八崩离合世界
'ba'dai'shao'si'man 八代少司蛮
'bai'cao'huo 百草火
'bai'di 白帝
'bai'gu'ru'shan 白骨如山
'bai'gu'yan 白骨炎
'bai'lu 白鹭
'bai'mu 白木
'bai'su 白素
'ban'zu'xue 半祖血
'bei'dou'xian'huang 北斗仙皇
'bei'ji'yan 北极炎
'bei'tian 北天
'bei'xiao'man 北小蛮
'ben'ming 本命
'ben'yuan'qiao 本源桥
'beng'tian 崩天
'bing'ling 冰灵
'bu'bai'jing 不败经
'bu'si'xue'mai 不死血脉
'bu'tian'xin 补天心
'bu'zhou'lei'huang 不周雷皇
'cang'lan'bing 苍兰冰
'cang'xian'ta 藏仙塔
'cha'hua'nv 茶花女
'chang'qing'lei 长情泪
'chen'jie 尘界
'chong'he'da'di 冲和大帝
'chong'huang 虫皇
'chong'ming'feng'di 崇明凤帝
'chou'hun 抽魂
'chu'qi 初期
'dao'jian 道剑
'dao'jing 道经
'di'er'bu 第二步
'di'er'men 第二门
'di'huang'huo 地煌火
'di'mai'yao'huo 地脉妖火
'di'ming'xue 帝冥雪
'di'san'bu 第三步
'di'si'bu 第四步
'di'wang 帝王
'di'xian'jie 地仙界
'di'yi'men 第一门
'ding'lu 鼎炉
'ding'tian'zhi'shu 定天之术
'dong'ji'feng 东极风
'dong'ming'xu'tian 东溟虚天
'dong'yao'zu 东妖祖
'du'zhen 渡真
'er'beng'cang'tian'hei'ri 二崩苍天黑日
'fan'mo'kong 樊莫空
'fan'xu'bao 凡虚宝
'fan'zu'jiu'jing 返祖九境
'fen'cang'shan 焚苍扇
'fen'chi 焚翅
'fen'ling'huo 焚灵火
'fen'xian'gu 焚仙谷
'feng'huang'nie'pan 凤凰涅槃
'feng'xian'bei 封仙碑
'feng'xin'nv 风信女
'feng'xue'yan 风雪烟
'feng'xue'yan 风雪言
'feng'yan'yi'zhi 风烟一指
'fu'du'huo 腐毒火
'fu'li'san'da'zhen'zu'shen'tong 扶离三大镇族神通
'fu'li'tun'ying 扶离吞影
'fu'li'zu'xue 扶离祖血
'gong'si'zhi'shu 共死之术
'gu'di'fen'shen 古帝分神
'gu'fu'jing 骨符境
'gu'mo 古魔
'gu'mo'yuan 古魔渊
'gu'shi'niang 顾十娘
'gu'shu 蛊术
'gu'tian'ting 古天庭
'gu'yao 古妖
'gu'yu'xi 骨狱息
'gui'xu'zhi 归墟指
'gui'xuan 鬼玄
'guo'mie'shen'dun 国灭神盾
'han'yuan'ji 韩元极
'he'che'jiu'zhuan'lian'dan'shu 河车九转炼丹术
'hei'mo'jue 黑魔诀
'hei'mo'pai 黑魔派
'hei'mo'yan 黑魔炎
'hei'mo'zong 黑魔宗
'hei'xing'zhi'shu 黑星之术
'hei'yao'jing 黑曜经
'hong'shen'zhi'shu 轰神之术
'hong'ye'cha 红夜叉
'hong'yi 红衣
'hou'tian'shi'er'nie 后天十二涅
'hu'feng 呼风
'hua'fen'jing 化坟经
'hua'jian'wei'huo 化剑为火
'hua'mo 花魔
'hua'shen 化神
'hua'xin'yi'jian 画心一剑
'huan'meng'jie 幻梦界
'huan'yu 唤雨
'huang'gu 荒古
'huang'sheng'bu'mie'jing 荒圣不灭境
'huang'ying 皇影
'huang'yu'yuan'gong 皇雨元功
'huo'jie 火界
'huo'xi'yao'gong 火系妖功
'huo'zu 祸族
'ji'dan'sheng'yu 极丹圣域
'ji'lei'gong 极雷宫
'ji'pin 祭品
'jian'jie 剑界
'jian'shi 剑识
